Year,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,Vermont,District of Columbia,0,mortRate,DJI_Open,DJI_High,DJI_Low,DJI_Close
1996,165833.3333,93966.66667,121166.6667,88166.66667,117211.1111,76588.88889,83833.33333,76622.22222,89744.44444,89833.33333,148166.6667,108688.8889,139988.8889,144722.2222,88988.88889,105577.7778,70255.55556,82833.33333,132866.6667,107422.2222,89333.33333,130877.7778,77777.77778,76455.55556,67833.33333,70644.44444,126222.2222,61055.55556,138977.7778,62211.11111,71355.55556,61366.66667,65211.11111,148388.8889,134633.3333,113966.6667,49166.66667,76922.22222,100255.5556,238300,84688.88889,105122.2222,117677.7778,134422.2222,107055.5556,43022.22222,130733.3333,88211.11111,120488.8889,130477.7778,7.966666667,5780.166667,5994.317763,5633.614366,5877.058919
1997,167591.6667,94616.66667,121183.3333,90766.66667,111125,79183.33333,86741.66667,82141.66667,94266.66667,95558.33333,150200,111691.6667,144991.6667,150808.3333,87841.66667,111116.6667,74150,88483.33333,133500,105158.3333,92283.33333,135050,79291.66667,83716.66667,70808.33333,73841.66667,131816.6667,58200,139916.6667,65725,71941.66667,62233.33333,73925,149858.3333,136466.6667,116275,50466.66667,79658.33333,110433.3333,229808.3333,83575,108591.6667,118091.6667,134416.6667,109408.3333,48866.66667,136333.3333,87266.66667,125508.3333,130433.3333,7.563333333,7317.334147,7685.73584,7075.153361,7437.575765
1998,179708.3333,98383.33333,125058.3333,94691.66667,118316.6667,84008.33333,91066.66667,90575,100883.3333,97050,154425,118391.6667,154366.6667,163308.3333,87041.66667,118150,78175,93100,135508.3333,108250,99391.66667,144283.3333,80033.33333,89858.33333,78975,78875,133308.3333,60858.33333,144758.3333,71425,72083.33333,66066.66667,83458.33333,153316.6667,139466.6667,118158.3333,54425,81191.66667,117508.3333,231525,88516.66667,118316.6667,121900,134383.3333,113291.6667,60125,145275,92133.33333,132508.3333,128466.6667,6.953333333,8506.283366,8912.745809,8196.710002,8610.202352
1999,195275,104966.6667,132325,101091.6667,125233.3333,88125,95641.66667,97583.33333,109958.3333,105608.3333,162783.3333,124450,162000,180900,88525,124425,82308.33333,97608.33333,139591.6667,115466.6667,114016.6667,159825,84291.66667,92941.66667,87141.66667,82525,138975,63650,155075,75600,71225,68308.33333,88516.66667,154383.3333,142300,122525,56916.66667,96316.66667,119583.3333,237183.3333,95816.66667,128650,128675,134391.6667,117466.6667,78250,155075,100383.3333,142125,131616.6667,7.4525,10281.64583,10806.04647,10052.71411,10474.77677
2000,224366.6667,113158.3333,142833.3333,109600,133808.3333,90950,100933.3333,106133.3333,119300,112475,177133.3333,132758.3333,170716.6667,209900,93333.33333,130166.6667,85458.33333,103050,146708.3333,122925,130225,180691.6667,86358.33333,100525,92375,86641.66667,144783.3333,68241.66667,167100,79325,71175,71208.33333,91458.33333,161241.6667,148783.3333,124758.3333,58366.66667,108766.6667,122483.3333,246133.3333,109391.6667,146425,140966.6667,134383.3333,123658.3333,82358.33333,158083.3333,109133.3333,153633.3333,137666.6667,8.025,10745.70076,11156.50171,10232.39315,10688.04248
2001,253750,110350,154883.3333,120750,142225,96925,106325,112975,127750,116183.3333,196925,141575,178050,244641.6667,100666.6667,137750,88466.66667,109600,157166.6667,130333.3333,148016.6667,200341.6667,90158.33333,104291.6667,92558.33333,91825,151691.6667,71033.33333,182250,83891.66667,67816.66667,74116.66667,95175,165808.3333,157366.6667,133400,60925,96833.33333,125533.3333,261241.6667,125558.3333,167816.6667,159308.3333,137675,134558.3333,92933.33333,183550,116825,172025,148233.3333,7.008333333,10204.61922,10635.18254,9651.259847,10139.92668
2002,288975,113683.3333,172841.6667,132041.6667,152050,104700,111008.3333,118675,135200,119541.6667,227716.6667,154683.3333,185491.6667,279225,103108.3333,145425,90791.66667,116158.3333,174358.3333,138816.6667,165416.6667,210508.3333,93208.33333,106508.3333,90350,96775,158533.3333,74125,202808.3333,88333.33333,69233.33333,76333.33333,98866.66667,167625,169350,138500,62458.33333,95550,125716.6667,284550,138708.3333,189783.3333,189216.6667,144350,144850,99166.66667,199191.6667,127233.3333,200925,152700,6.505,9320.785889,9644.758382,8710.377604,9180.964152
2003,343000,117000,196166.6667,146633.3333,160725,114650,115975,123258.3333,140341.6667,124275,265091.6667,170233.3333,195333.3333,314658.3333,104266.6667,154583.3333,94058.33333,122508.3333,201116.6667,147400,179900,216150,96758.33333,111566.6667,94458.33333,101883.3333,167525,77550,231483.3333,91816.66667,69941.66667,80233.33333,101033.3333,170108.3333,187225,142508.3333,69100,100375,130233.3333,335566.6667,154675,217375,230225,144416.6667,161650,98300,208083.3333,139800,254858.3333,157058.3333,5.821666667,8842.228353,9257.361613,8656.715902,9017.915812
2004,429041.6667,123675,223925,171750,172833.3333,126708.3333,120108.3333,128475,146341.6667,131866.6667,303483.3333,200441.6667,218416.6667,344741.6667,105358.3333,172016.6667,99366.66667,126416.6667,242575,158341.6667,194391.6667,222275,100908.3333,118775,101883.3333,106516.6667,182533.3333,81216.66667,260291.6667,96350,73125,84908.33333,106433.3333,171200,253066.6667,153641.6667,71883.33333,109358.3333,137191.6667,427316.6667,176350,242591.6667,269716.6667,144775,187866.6667,116058.3333,224808.3333,155500,323233.3333,174525,5.835833333,10297.82332,10531.17912,10069.06095,10325.96582
2005,515800,129250,257408.3333,220650,184583.3333,138975,123333.3333,134083.3333,151816.6667,137591.6667,349291.6667,241991.6667,256166.6667,370641.6667,112141.6667,232525,108466.6667,132100,300508.3333,156366.6667,206733.3333,230400,99200,127308.3333,106108.3333,109308.3333,216241.6667,84233.33333,290450,102825,93900,92500,112958.3333,177691.6667,314800,150391.6667,79575,115966.6667,152691.6667,542566.6667,198025,265616.6667,297041.6667,156450,215283.3333,125283.3333,249758.3333,176591.6667,391725,161250,5.870833333,10534.5293,10761.57902,10309.53003,10529.12842
2006,549391.6667,133058.3333,275450,261491.6667,197241.6667,150041.6667,124975,134400,159550,146958.3333,381183.3333,259475,296691.6667,362775,116050,274833.3333,118075,137633.3333,337683.3333,159941.6667,211158.3333,237458.3333,106441.6667,136616.6667,116108.3333,114066.6667,260525,88775,301950,106241.6667,108300,99791.66667,113533.3333,198758.3333,326341.6667,170125,82341.66667,120016.6667,180983.3333,609266.6667,201158.3333,268425,297866.6667,168241.6667,230133.3333,136041.6667,271350,188633.3333,429766.6667,165608.3333,6.408333333,11326.71663,11614.96834,11154.01164,11472.08089
2007,514091.6667,138016.6667,278425,246925,200391.6667,155100,122933.3333,128125,163291.6667,153650,374475,260666.6667,312933.3333,344675,117808.3333,256016.6667,123066.6667,139683.3333,337333.3333,161641.6667,205991.6667,238475,111491.6667,141016.6667,122041.6667,115450,266691.6667,92283.33333,296225,110183.3333,115541.6667,102291.6667,118066.6667,233733.3333,298375,182925,84216.66667,120983.3333,190275,604958.3333,198291.6667,259550,284616.6667,177741.6667,235758.3333,138641.6667,284533.3333,192400,432250,180383.3333,6.336666667,13129.87492,13503.00659,12745.28255,13197.97917
2008,417350,136100,265016.6667,202800,188516.6667,153200,116691.6667,113700,156208.3333,152625,348766.6667,242991.6667,295441.6667,320158.3333,116525,214058.3333,121816.6667,136866.6667,304666.6667,158400,189491.6667,230116.6667,109808.3333,138691.6667,124000,114700,252358.3333,95183.33333,278325,111891.6667,112525,101616.6667,117975,246725,238258.3333,183150,82625,118858.3333,187508.3333,572925,185891.6667,242725,257625,182991.6667,234191.6667,139675,289050,189816.6667,408041.6667,184725,6.0725,11596.45744,11864.37093,10608.13241,11224.26489
2009,346550,132016.6667,245425,160000,168016.6667,149433.3333,111766.6667,96050,141558.3333,147458.3333,315341.6667,223908.3333,265941.6667,304550,110325,174150,117525,132241.6667,267116.6667,152550,173100,224425,104600,133008.3333,125375,113391.6667,229700,96383.33333,257950,111816.6667,109800,98941.66667,116066.6667,231850,179275,177333.3333,80875,118416.6667,171658.3333,514541.6667,172400,225075,232525,182775,221633.3333,140800,292491.6667,181400,375033.3333,182583.3333,5.0425,8748.789266,9258.488281,8421.375773,8887.829264
2010,336750,130933.3333,236683.3333,145150,156308.3333,147683.3333,109483.3333,87716.66667,131783.3333,143491.6667,300691.6667,216483.3333,249791.6667,303725,107850,156450,115550,128883.3333,250150,148575,166383.3333,220891.6667,100733.3333,129991.6667,124800,114608.3333,215966.6667,96966.66667,251158.3333,112500,115266.6667,97258.33333,114791.6667,214766.6667,156400,172658.3333,80058.33333,118966.6667,158133.3333,505075,175983.3333,220108.3333,229658.3333,182900,222441.6667,140441.6667,295991.6667,180216.6667,373891.6667,182583.3333,4.688333333,10500.16496,10977.64168,10232.66089,10594.93408
2011,315508.3333,128108.3333,225075,132900,143491.6667,141450,104191.6667,82075,118750,137291.6667,279333.3333,206608.3333,228250,291291.6667,105725,141075,111591.6667,123983.3333,234033.3333,141466.6667,153225,212641.6667,96016.66667,123283.3333,120741.6667,112108.3333,196741.6667,94500,236800,110808.3333,109866.6667,94391.66667,110608.3333,198991.6667,139641.6667,161491.6667,79575,117100,144291.6667,491175,169483.3333,207383.3333,215375,179108.3333,220358.3333,138616.6667,297716.6667,178400,373225,181950,4.4425,12039.89242,12385.58569,11495.29671,12093.42244
2012,316841.6667,127583.3333,218908.3333,132700,136091.6667,138408.3333,103091.6667,82433.33333,111400,135966.6667,264833.3333,206558.3333,223558.3333,288666.6667,104675,150958.3333,110183.3333,121491.6667,230816.6667,140183.3333,153066.6667,219300,96725,121875,118458.3333,110366.6667,195900,93525,226933.3333,112333.3333,103833.3333,93941.66667,108875,197450,140316.6667,155150,79375,118000,143825,501591.6667,170550,205866.6667,208133.3333,180808.3333,188266.6667,138350,297975,179191.6667,392200,184275,3.6475,12930.60262,13262.71761,12605.58415,13003.91829
2013,370408.3333,131275,221333.3333,143750,140116.6667,140125,105141.6667,90341.66667,118950,137733.3333,266833.3333,213733.3333,240158.3333,304991.6667,104558.3333,174333.3333,112858.3333,123650,242083.3333,142966.6667,165633.3333,235866.6667,105808.3333,123775,120608.3333,111925,213200,94191.66667,229183.3333,115575,100866.6667,97166.66667,109633.3333,213141.6667,168891.6667,154550,81533.33333,121833.3333,155575,540550,175650,213125,213500,187116.6667,189825,145300,306250,180283.3333,443650,189108.3333,4.024166667,14796.32324,15330.02751,14570.07316,15083.90999
2014,414100,138008.3333,227550,159191.6667,147050,142666.6667,108858.3333,100000,130808.3333,141550,276800,219783.3333,256216.6667,322491.6667,106150,188308.3333,118075,126150,252116.6667,148741.6667,177116.6667,255200,110191.6667,126700,123425,114016.6667,232416.6667,95741.66667,233091.6667,119000,97866.66667,99908.33333,112691.6667,229183.3333,195116.6667,156725,83158.33333,125475,168450,583225,181091.6667,221033.3333,220766.6667,191425,197775,147875,310441.6667,182950,496458.3333,192766.6667,4.16,16757.75081,17072.72494,16339.00675,16862.44246
2015,441616.6667,147225,231933.3333,173866.6667,153066.6667,145858.3333,113091.6667,109350,139775,145875,279708.3333,224866.6667,277733.3333,335433.3333,110200,199858.3333,124300,130066.6667,258350,151750,185983.3333,286641.6667,112616.6667,130083.3333,127166.6667,117625,253783.3333,98775,233075,123783.3333,103566.6667,103433.3333,115850,240791.6667,213466.6667,161491.6667,86575,131733.3333,177641.6667,613950,185541.6667,229458.3333,226375,195816.6667,204191.6667,157033.3333,320750,183691.6667,546950,201400,3.843333333,17526.38078,17971.26839,16975.05412,17487.96281
2016,474125,160400,241000,193383.3333,159508.3333,150575,118358.3333,118916.6667,149858.3333,153200,284975,232550,308600,353683.3333,116425,216850,133191.6667,136391.6667,266725,159750,199050,321091.6667,116500,139033.3333,133700,123666.6667,285683.3333,106400,235833.3333,128658.3333,110541.6667,109458.3333,121533.3333,259416.6667,231600,167508.3333,89233.33333,138458.3333,191341.6667,652216.6667,194316.6667,240391.6667,239891.6667,204950,215583.3333,165633.3333,322708.3333,185416.6667,598250,208325,3.670833333,17828.93343,18301.5708,17359.44735,18027.38265
2017,512991.6667,175525,252641.6667,217166.6667,167316.6667,158266.6667,125950,129483.3333,161175,163950,302491.6667,243133.3333,344900,381875,124325,233250,145208.3333,143766.6667,279616.6667,169925,215983.3333,350883.3333,119566.6667,149783.3333,140325,131866.6667,316666.6667,114533.3333,243408.3333,134850,115425,115408.3333,129116.6667,283991.6667,255225,175116.6667,92008.33333,147250,209708.3333,686716.6667,208541.6667,258391.6667,259050,211550,224791.6667,172550,323875,191550,650441.6667,210908.3333,3.979166667,21576.63932,22090.15251,21334.91439,21937.62174
2018,546680,186730,263590,235030,176020,167560,133470,139500,175440,174900,325210,251600,373540,403850,133940,249430,156660,153310,293460,179140,229590,374470,125710,159540,144860,139390,336610,120110,252850,140000,120940,121200,134530,315880,284710,186170,94620,157480,233050,723120,222680,275070,278100,226410,235360,181500,327570,196430,683160,219300,4.532,25078.99961,25919.7002,24140.39707,25108.61797
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723120,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43022.22222,,,,,,,,,,,
